Date,Variacion_IPC,IPC_suma
1999-01-01,0.4,325.70000000000005
1999-02-01,0.1,325.80000000000007
1999-03-01,0.4,326.20000000000005
1999-04-01,0.4,326.6
1999-05-01,0.0,326.6
1999-06-01,0.0,326.6
1999-07-01,0.4,327.0
1999-08-01,0.4,327.4
1999-09-01,0.2,327.59999999999997
1999-10-01,0.0,327.59999999999997
1999-11-01,0.2,327.79999999999995
1999-12-01,0.5,328.29999999999995
2000-01-01,0.3,328.59999999999997
2000-02-01,0.1,328.7
2000-03-01,0.4,329.09999999999997
2000-04-01,0.4,329.49999999999994
2000-05-01,0.2,329.69999999999993
2000-06-01,0.3,329.99999999999994
2000-07-01,0.6,330.59999999999997
2000-08-01,0.4,330.99999999999994
2000-09-01,0.3,331.29999999999995
2000-10-01,0.3,331.59999999999997
2000-11-01,0.2,331.79999999999995
2000-12-01,0.3,332.09999999999997
2001-01-01,0.0,332.09999999999997
2001-02-01,0.3,332.4
2001-03-01,0.4,332.79999999999995
2001-04-01,0.5,333.29999999999995
2001-05-01,0.4,333.69999999999993
2001-06-01,0.3,333.99999999999994
2001-07-01,0.2,334.19999999999993
2001-08-01,0.2,334.3999999999999
2001-09-01,0.0,334.3999999999999
2001-10-01,-0.1,334.2999999999999
2001-11-01,-0.1,334.1999999999999
2001-12-01,0.4,334.59999999999985
2002-01-01,-0.1,334.49999999999983
2002-02-01,0.1,334.59999999999985
2002-03-01,0.8,335.39999999999986
2002-04-01,1.4,336.79999999999984
2002-05-01,0.4,337.1999999999998
2002-06-01,0.0,337.1999999999998
2002-07-01,-0.7,336.49999999999983
2002-08-01,0.3,336.79999999999984
2002-09-01,0.4,337.1999999999998
2002-10-01,1.0,338.1999999999998
2002-11-01,0.2,338.3999999999998
2002-12-01,0.3,338.6999999999998
2003-01-01,-0.4,338.29999999999984
2003-02-01,0.2,338.49999999999983
2003-03-01,0.7,339.1999999999998
2003-04-01,0.8,339.99999999999983
2003-05-01,-0.1,339.8999999999998
2003-06-01,0.1,339.99999999999983
2003-07-01,-0.6,339.3999999999998
2003-08-01,0.5,339.8999999999998
2003-09-01,0.3,340.1999999999998
2003-10-01,0.7,340.8999999999998
2003-11-01,0.3,341.1999999999998
2003-12-01,0.2,341.3999999999998
2004-01-01,-0.7,340.6999999999998
2004-02-01,0.0,340.6999999999998
2004-03-01,0.7,341.3999999999998
2004-04-01,1.4,342.7999999999998
2004-05-01,0.6,343.3999999999998
2004-06-01,0.2,343.5999999999998
2004-07-01,-0.8,342.7999999999998
2004-08-01,0.4,343.19999999999976
2004-09-01,0.2,343.39999999999975
2004-10-01,1.0,344.39999999999975
2004-11-01,0.2,344.59999999999974
2004-12-01,-0.1,344.4999999999997
2005-01-01,-0.8,343.6999999999997
2005-02-01,0.3,343.9999999999997
2005-03-01,0.8,344.7999999999997
2005-04-01,1.4,346.1999999999997
2005-05-01,0.2,346.3999999999997
2005-06-01,0.2,346.5999999999997
2005-07-01,-0.6,345.99999999999966
2005-08-01,0.4,346.39999999999964
2005-09-01,0.6,346.99999999999966
2005-10-01,0.8,347.79999999999967
2005-11-01,0.2,347.99999999999966
2005-12-01,0.2,348.19999999999965
2006-01-01,-0.4,347.79999999999967
2006-02-01,0.0,347.79999999999967
2006-03-01,0.7,348.49999999999966
2006-04-01,1.4,349.89999999999964
2006-05-01,0.4,350.2999999999996
2006-06-01,0.2,350.4999999999996
2006-07-01,-0.6,349.8999999999996
2006-08-01,0.2,350.09999999999957
2006-09-01,-0.2,349.8999999999996
2006-10-01,0.4,350.29999999999956
2006-11-01,0.2,350.49999999999955
2006-12-01,0.3,350.79999999999956
2007-01-01,-0.7,350.09999999999957
2007-02-01,0.1,350.1999999999996
2007-03-01,0.8,350.9999999999996
2007-04-01,1.4,352.3999999999996
2007-05-01,0.3,352.6999999999996
2007-06-01,0.2,352.8999999999996
2007-07-01,-0.7,352.1999999999996
2007-08-01,0.1,352.2999999999996
2007-09-01,0.3,352.5999999999996
2007-10-01,1.3,353.89999999999964
2007-11-01,0.7,354.5999999999996
2007-12-01,0.4,354.9999999999996
2008-01-01,-0.6,354.3999999999996
2008-02-01,0.2,354.59999999999957
2008-03-01,0.9,355.49999999999955
2008-04-01,1.1,356.59999999999957
2008-05-01,0.7,357.29999999999956
2008-06-01,0.6,357.8999999999996
2008-07-01,-0.5,357.3999999999996
2008-08-01,-0.2,357.1999999999996
2008-09-01,0.0,357.1999999999996
2008-10-01,0.3,357.4999999999996
2008-11-01,-0.4,357.0999999999996
2008-12-01,-0.5,356.5999999999996
2009-01-01,-1.2,355.39999999999964
2009-02-01,0.0,355.39999999999964
2009-03-01,0.2,355.5999999999996
2009-04-01,1.0,356.5999999999996
2009-05-01,0.0,356.5999999999996
2009-06-01,0.4,356.9999999999996
2009-07-01,-0.9,356.0999999999996
2009-08-01,0.3,356.39999999999964
2009-09-01,-0.2,356.19999999999965
2009-10-01,0.7,356.89999999999964
2009-11-01,0.5,357.39999999999964
2009-12-01,0.0,357.39999999999964
2010-01-01,-1.0,356.39999999999964
2010-02-01,-0.2,356.19999999999965
2010-03-01,0.7,356.89999999999964
2010-04-01,1.1,357.99999999999966
2010-05-01,0.2,358.19999999999965
2010-06-01,0.2,358.39999999999964
2010-07-01,-0.4,357.99999999999966
2010-08-01,0.3,358.29999999999967
